player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
Ausar Thompson|SF|21|DET|63|1583|12.8|0.522|0.235|0.248|8.9|19.6|14.2|10.8|2.1|3.2|13.6|16.6|0.1|1.7|1.8|0.053|-2.8|0.6|-2.2|-0.1
Klay Thompson|SF|33|GSW|77|2284|13.9|0.576|0.611|0.121|1.7|10.2|6|11.2|1.1|1.4|8.9|24.2|1.8|1.7|3.6|0.075|1.1|-1.5|-0.4|0.9
Tristan Thompson|C|32|CLE|49|549|13.9|0.563|0.008|0.433|15.1|20.4|17.8|12.7|1.1|2.3|16.9|13.8|0.6|0.8|1.4|0.119|-2.1|0.6|-1.4|0.1
JT Thor|PF|21|CHO|63|781|9.1|0.519|0.443|0.109|6|15.3|10.5|5.1|0.7|3.2|7.3|11.7|0.2|0.3|0.6|0.034|-3.5|-1.1|-4.5|-0.5
Matisse Thybulle|SF|26|POR|65|1487|10.4|0.537|0.729|0.091|2.1|8.5|5.1|8.3|3.8|3|10.8|10.6|0.4|1.8|2.2|0.072|-2.8|3.4|0.6|0.9
Xavier Tillman Sr.|C-PF|25|TOT|54|974|12.2|0.472|0.29|0.179|7.7|16.1|11.8|11.3|2.6|4.2|10.1|14.8|-0.1|1.6|1.4|0.071|-3.1|1.9|-1.2|0.2
Jacob Toppin|SF|23|NYK|9|38|14.3|0.658|0.444|0.222|8.8|11.9|10.3|10.9|0|2.5|9.2|12.4|0.1|0|0.1|0.161|0.6|-1.3|-0.7|0
Obi Toppin|PF|25|IND|82|1730|16.5|0.677|0.437|0.173|5.6|15.4|10.5|9.4|1.3|2|10|16.8|3.6|1.1|4.8|0.132|1.8|-0.3|1.5|1.5
Juan Toscano-Anderson|SF|30|SAC|11|53|2.5|0.292|0.333|0|8.3|21.6|14.8|9|0.9|1.7|14.3|11.3|-0.1|0.1|0|-0.024|-8.7|-0.6|-9.4|-0.1
Karl-Anthony Towns|PF|28|MIN|62|2026|18.8|0.625|0.344|0.307|5.5|22.6|14.4|15.1|1|1.8|14.1|27.4|2.6|3.6|6.3|0.148|1.6|0.9|2.5|2.3
Gary Trent Jr.|SG|25|TOR|71|1994|12|0.548|0.535|0.113|1.4|9.2|5.2|8.6|1.9|0.4|5|20|0.8|0.9|1.7|0.04|-1.2|-1.4|-2.6|-0.3
Oscar Tshiebwe|PF|24|IND|8|42|24.8|0.553|0|0.4|21.6|21.6|21.6|6.4|2.2|1.9|0|23.5|0.1|0|0.2|0.221|4.5|-2.3|2.2|0
P.J. Tucker|PF|38|TOT|31|486|5.9|0.507|0.7|0.06|6.7|12.9|9.8|3.9|1.6|1.3|13.5|5.3|0.2|0.5|0.7|0.068|-4|0.4|-3.6|-0.2
Myles Turner|C|27|IND|77|2076|19.3|0.626|0.356|0.349|6.2|22.9|14.5|6.4|0.9|5.5|9.4|23.4|3.6|2.2|5.8|0.134|1|-0.1|0.9|1.5
Hunter Tyson|PF|23|DEN|18|48|6|0.5|0.7|0|2.4|18|10.4|5.6|1|0|9.1|20|0|0.1|0|0.007|-6.8|-2.1|-8.9|-0.1
Stanley Umude|SG|24|DET|24|307|11.4|0.647|0.631|0.381|2.9|15.9|9.3|4.9|1.3|2|12.5|15.6|0.3|0.2|0.5|0.085|-1.5|-0.1|-1.6|0
Jonas Valančiūnas|C|31|NOP|82|1925|19.8|0.619|0.167|0.285|10.9|30.6|20.9|13.3|0.8|3.5|12.1|20.8|3.9|3.1|7.1|0.177|0.7|0.5|1.2|1.6
Jarred Vanderbilt|PF|24|LAL|29|581|11.6|0.578|0.237|0.316|8.3|17.7|13.2|7.7|2.9|0.7|17.7|11.7|0.3|0.8|1.1|0.089|-2.9|1.3|-1.6|0
Fred VanVleet|PG|29|HOU|73|2684|16.7|0.568|0.576|0.225|1.3|9.9|5.6|31.1|1.8|2|10.1|19.7|5.3|3.1|8.4|0.15|2.6|0.8|3.4|3.6
Devin Vassell|SG|23|SAS|68|2248|15.7|0.578|0.422|0.19|1.3|11.3|6.3|19.1|1.5|0.8|8.6|23.5|2|1.6|3.6|0.077|0.9|-0.9|0|1.1
Sasha Vezenkov|PF|28|SAC|42|511|13.3|0.569|0.628|0.079|6.4|14.8|10.5|5.1|1.9|1.3|5.7|17.5|0.5|0.5|1|0.098|-0.2|-0.7|-0.9|0.1
Gabe Vincent|PG|27|LAL|11|218|3.1|0.341|0.571|0.041|2.1|2.4|2.3|11.6|2|0|9.1|10.9|-0.3|0.1|-0.1|-0.033|-6.9|0.4|-6.5|-0.2
Nikola Vučević|C|33|CHI|76|2610|17.7|0.54|0.258|0.107|8.8|25.8|17.1|15.2|1|2.4|8.6|23.3|2.7|2.8|5.4|0.1|0.8|-0.7|0.1|1.4
Tristan Vukcevic|C|20|WAS|10|153|13.9|0.554|0.537|0.328|4.1|21.5|12.6|12.1|1.5|3.7|11.5|23.9|0|0.1|0.1|0.045|-3.5|-0.1|-3.6|-0.1
Dean Wade|PF|27|CLE|54|1108|10.2|0.598|0.871|0.112|3.8|18.2|11.1|5|1.8|2|7.6|10.5|0.9|1.6|2.5|0.11|-1.7|1.8|0.1|0.6
Franz Wagner|SF|22|ORL|72|2337|17.6|0.575|0.305|0.291|3.6|15.7|9.6|18.8|1.6|1.1|10|25.7|3.1|3.2|6.4|0.131|0.9|0.3|1.2|1.9
Moritz Wagner|C|26|ORL|80|1415|20.6|0.676|0.208|0.37|9.6|19.3|14.4|11.2|1.4|1.4|13.1|22.8|3.5|2|5.6|0.188|1.7|0.3|2|1.4
Ish Wainright|SF|29|TOT|11|62|8.9|0.462|0.833|0.083|5.8|20.8|12.7|2|3.2|1.5|7.4|18.5|0|0.1|0|0.029|-2.9|0.5|-2.4|0
Jabari Walker|SF|21|POR|72|1700|13|0.546|0.273|0.336|9.4|25|16.7|6.2|1.2|1.2|10.2|16.3|1.4|1.6|2.9|0.083|-2.4|-0.9|-3.3|-0.6
